kernel,backend,device,precision,n,threads,gflops,mean_rel_error_f64,median_ms,min_ms,stddev_ms,block_size,repetitions,host,commit,timestamp
rayon-tiled,cpu,Apple M1 Pro,i32,256,10,66.45534216514794,0.0,0.5049170000000001,0.458,0.03379344313324704,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,256,1,24.94211814238098,0.0,1.3452920000000002,1.330833,0.012146109471760915,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,256,2,45.338741735724234,0.0,0.740083,0.71575,0.015151160113997884,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,256,4,82.92723385851097,0.0,0.40462499999999996,0.399125,0.011090173519832765,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,256,8,105.48954832543707,0.0,0.318083,0.24041700000000002,0.06356309436693591,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,256,10,84.85834448190138,0.0,0.395417,0.315958,0.1713771756696323,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,256,1,21.38133334352875,0.0,1.569333,1.545417,0.05221406273505256,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,256,2,39.25642819537876,0.0,0.85475,0.8298329999999999,0.01916906833155957,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,256,4,75.20599237505239,0.0,0.44616700000000004,0.43124999999999997,0.009989577628708834,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,256,8,79.93108968250942,0.0,0.419792,0.403041,0.013203370846113508,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,256,10,79.9629002085195,0.0,0.419625,0.402584,0.02059044968425897,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
naive-ijk,cpu,Apple M1 Pro,i32,512,1,2.8557355915998337,0.0,93.998708,93.278583,0.7547905592550186,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
ikj,cpu,Apple M1 Pro,i32,512,1,25.581524573746012,0.0,10.493333,10.313958,0.11961951899125858,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
tiled,cpu,Apple M1 Pro,i32,512,1,19.819998232384183,0.0,13.543667000000001,13.274792,0.1423678128029651,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,512,1,25.794255905181924,0.0,10.406792,10.386,0.08151520516014196,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,512,2,50.40094930529478,0.0,5.326,5.232457999999999,0.06288318341019325,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,512,4,96.44818481112988,0.0,2.783209,2.7503330000000004,0.021712003148028448,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,512,8,165.8672779794547,0.0,1.6183750000000001,1.587375,0.06589876718649594,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,512,10,179.2756031720378,0.0,1.497334,1.378541,0.12037745153972979,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,512,1,19.796672548097753,0.0,13.559625,13.407374999999998,0.10731381238824825,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,512,2,38.331034726986,0.0,7.003083999999999,6.811083,0.10212575819889903,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,512,4,74.58612281189218,0.0,3.599,3.575166,0.020890987992433618,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,512,8,104.35315846251034,0.0,2.572375,2.2518339999999997,0.34896091643234217,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,512,10,88.76954217963934,0.0,3.023959,2.652583,0.1646803210987883,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,512,1,25.655687278983077,0.0,10.463000000000001,10.325834,0.08421536420511398,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,512,2,50.365487311787604,0.0,5.329750000000001,5.291125,0.05291335416225294,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,512,4,96.91101069093405,0.0,2.7699170000000004,2.7143330000000003,0.029819236849724966,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,512,8,144.16837329306034,0.0,1.861958,1.5592920000000001,0.34976099194692933,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,512,10,122.75774051325534,0.0,2.1867089999999996,1.8538750000000002,0.16012814779669426,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,512,1,19.77449416873121,0.0,13.574833,13.529625,0.09831648887546789,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,512,2,38.83076622192699,0.0,6.912958000000001,6.858458,0.11912658652962409,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,512,4,74.62933690973045,0.0,3.596916,3.490459,0.051987545320970815,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,512,8,102.04894204735449,0.0,2.630458,2.2355,0.30947460148887823,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,512,10,104.06996113399563,0.0,2.579375,2.198292,0.26059849867142376,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
naive-ijk,cpu,Apple M1 Pro,i32,1024,1,2.0796926854181805,0.0,1032.5966250000001,1022.3266660000002,15.33310848367301,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
ikj,cpu,Apple M1 Pro,i32,1024,1,24.944768238455353,0.0,86.08954100000001,86.006,0.10924630195938155,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
tiled,cpu,Apple M1 Pro,i32,1024,1,17.944646023473346,0.0,119.67266699999999,119.3685,0.26174204285383706,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,1024,1,24.977032853149172,0.0,85.978333,85.597667,0.343555365281927,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,1024,2,49.563747947070084,0.0,43.327709,43.164375,0.13158680340634507,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,1024,4,96.6975627525807,0.0,22.20825,21.975208,0.2099249326183051,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,1024,8,175.19395060267993,0.0,12.25775,11.838458,0.37694512529836466,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,1024,10,175.424118953734,0.0,12.241667,11.950417,0.2672763381498635,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,1024,1,17.79637107062872,0.0,120.66975000000001,119.881833,0.43691260661544223,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,1024,2,35.20068267715729,0.0,61.006875,60.407084,0.3306887301319774,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,1024,4,70.37757234033838,0.0,30.513749999999998,30.333958000000003,0.1477113453858563,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,1024,8,113.96541793228062,0.0,18.843292,18.082667,0.9593196159751451,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,1024,10,123.94662018512773,0.0,17.325875,15.881083,1.4595846103073291,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,1024,1,24.89672531313218,0.0,86.25566699999999,85.79425,0.25685452061682224,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,1024,2,49.37112883146442,0.0,43.49675,43.32975,0.11634052365018838,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,1024,4,96.86730981035831,0.0,22.169332999999998,21.956166999999997,0.0987526406548215,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,1024,8,151.4645729248402,0.0,14.178125,12.762208000000001,1.3013016183646666,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,1024,10,136.01820092565285,0.0,15.788208000000001,15.157917,0.46486877081225875,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,1024,1,17.6602758760867,0.0,121.599666,120.788667,0.5129978726999751,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,1024,2,35.221635456561074,0.0,60.970583000000005,60.735375,0.46625883561633447,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,1024,4,69.56163552813653,0.0,30.871667,30.468249999999998,0.30029360472094646,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,1024,8,111.74988899079584,0.0,19.216875,17.735083,1.1805195013684446,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,1024,10,101.93610041202436,0.0,21.066959,19.353334,1.0591068037510192,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
naive-ijk,cpu,Apple M1 Pro,i32,2048,1,0.6911908179549245,0.0,24855.465,24837.04375,24.746747894318602,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
ikj,cpu,Apple M1 Pro,i32,2048,1,22.58114435194638,0.0,760.805959,757.851,2.026224967429891,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
tiled,cpu,Apple M1 Pro,i32,2048,1,14.898679594987083,0.0,1153.113541,1152.376417,0.3501573403410047,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,2048,1,22.55477927254932,0.0,761.695292,760.788,1.502024139226607,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,2048,2,39.18420926015993,0.0,438.438583,435.38545899999997,2.0939535038727137,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,2048,4,72.6993158705313,0.0,236.314042,234.783667,1.905640446781936,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,2048,8,126.8597392377466,0.0,135.424125,132.107166,4.692773173069065,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-ikj,cpu,Apple M1 Pro,i32,2048,10,132.15427934199653,0.0,129.998584,128.50975,1.2555242335514707,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,2048,1,14.534572190738483,0.0,1182.000334,1180.351791,0.9746806676920392,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,2048,2,28.40070683185825,0.0,604.909916,603.8384580000001,12.913779826004527,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,2048,4,56.92091042343119,0.0,301.82,301.51329100000004,1.8272100468751964,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,2048,8,105.63900626167373,0.0,162.628084,159.912042,3.8929975874525424,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
rayon-tiled,cpu,Apple M1 Pro,i32,2048,10,100.72223896900167,0.0,170.566792,161.77291699999998,9.443449847243489,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,2048,1,22.62628703956331,0.0,759.288042,751.325917,4.623454393080883,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,2048,2,39.18365810971622,0.0,438.44475,433.793125,2.823754767476676,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,2048,4,72.58086344576309,0.0,236.69970800000002,233.472667,1.8602894239872187,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,2048,8,122.49373754197832,0.0,140.25099999999998,135.701292,7.224856428509904,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-ikj,cpu,Apple M1 Pro,i32,2048,10,126.03512773948202,0.0,136.310166,133.59658299999998,5.405223436747078,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,2048,1,14.477728956120062,0.0,1186.641167,1186.243667,0.4250547524423298,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,2048,2,28.146391855262117,0.0,610.375542,599.12825,8.345931890270215,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,2048,4,57.03063856623325,0.0,301.239292,300.317958,1.6597737060360986,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,2048,8,105.09158721430354,0.0,163.475209,158.521209,6.612505514227288,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
static-tiled,cpu,Apple M1 Pro,i32,2048,10,108.43789033046036,0.0,158.4305,154.86366700000002,7.448486813504097,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
naive-ijk,cpu,Apple M1 Pro,i32,4096,1,0.4073977962236628,0.0,337358.11716699996,335679.940959,1446.3576389783302,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
ikj,cpu,Apple M1 Pro,i32,4096,1,23.70786432134056,0.0,5797.188292,5785.465083,9.578783099168792,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
tiled,cpu,Apple M1 Pro,i32,4096,1,16.349203777952958,0.0,8406.461583,8393.817000000001,6.69719438844039,64,5,Pauls-MacBook-Pro,unknown,2026-09-16T22:06:56Z
