kernel,n,threads,precision,elapsed_ms,gflops
static-ikj,128,2,f16,0.059916,70.0030709660191
static-ikj,128,4,f16,0.055292,75.85733921724662
static-ikj,128,8,f16,0.06724999999999999,62.36883271375466
static-ikj,128,10,f16,0.07175,58.45719860627178
static-tiled,128,1,f16,0.16683299999999998,25.14073354791918
static-tiled,128,2,f16,0.087334,48.02601506858726
static-tiled,128,4,f16,0.057834,72.52315247086489
static-tiled,128,8,f16,0.073459,57.09721068895574
static-tiled,128,10,f16,0.059709,70.24575859585657
mps,128,1,f16,0.231542,18.114657383973533
naive-ijk,256,1,f16,13.436625000000001,2.4972366200589806
ikj,256,1,f16,0.554,60.56756678700361
tiled,256,1,f16,1.222667,27.443639192028577
rayon-ikj,256,1,f16,0.585083,57.3498666001234
rayon-ikj,256,2,f16,0.316208,106.11506350250468
rayon-ikj,256,4,f16,0.179917,186.49950810651578
rayon-ikj,256,8,f16,0.11950000000000001,280.7902259414226
rayon-ikj,256,10,f16,0.16483399999999998,203.56499265928147
rayon-tiled,256,1,f16,1.2348750000000002,27.17233080271282
rayon-tiled,256,2,f16,0.642708,52.20789534283065
rayon-tiled,256,4,f16,0.336375,99.75304942400595
rayon-tiled,256,8,f16,0.363209,92.38326142799325
rayon-tiled,256,10,f16,0.365417,91.82504371717792
static-ikj,256,1,f16,0.6948749999999999,48.28844324518799
static-ikj,256,2,f16,0.316416,106.0453074433657
static-ikj,256,4,f16,0.21954200000000001,152.83832706270326
static-ikj,256,8,f16,0.143917,233.15127469305224
static-ikj,256,10,f16,0.18925,177.30215059445177
static-tiled,256,1,f16,1.2645410000000001,26.5348707554757
static-tiled,256,2,f16,0.647459,51.82479817254838
static-tiled,256,4,f16,0.35991700000000004,93.22824984649239
static-tiled,256,8,f16,0.234292,143.21629419698496
static-tiled,256,10,f16,0.41475,80.90278963230861
mps,256,1,f16,0.313834,106.91777181567326
naive-ijk,512,1,f16,120.245375,2.232397345843863
ikj,512,1,f16,5.09425,52.69381282818865
tiled,512,1,f16,9.844166,27.268481250722512
rayon-ikj,512,1,f16,5.096375,52.671841455936814
rayon-ikj,512,2,f16,2.70675,99.17260773990948
rayon-ikj,512,4,f16,1.392458,192.7781347803668
rayon-ikj,512,8,f16,0.9975419999999999,269.09689617078783
rayon-ikj,512,10,f16,0.693875,386.8642853539902
rayon-tiled,512,1,f16,9.949833,26.978890600475406
rayon-tiled,512,2,f16,5.103458,52.5987391294295
rayon-tiled,512,4,f16,2.683584,100.02871383940281
rayon-tiled,512,8,f16,1.40825,190.6163365879638
rayon-tiled,512,10,f16,1.452667,184.7880181762235
static-ikj,512,1,f16,5.163125,51.990888463866355
static-ikj,512,2,f16,2.721625,98.63058136223762
static-ikj,512,4,f16,1.427792,188.00739603527686
static-ikj,512,8,f16,0.749792,358.0132303358798
static-ikj,512,10,f16,0.9951249999999999,269.7504896369803
static-tiled,512,1,f16,9.877584,27.17622608929471
static-tiled,512,2,f16,5.2638750000000005,50.9957884638218
static-tiled,512,4,f16,2.6629169999999998,100.80504048755557
static-tiled,512,8,f16,1.3989580000000001,191.8824267776445
static-tiled,512,10,f16,2.1287089999999997,126.10246680030009
mps,512,1,f16,0.441542,607.9499934321084
naive-ijk,1024,1,f16,983.1776669999999,2.1842274495032847
ikj,1024,1,f16,40.387833,53.17154916432382
tiled,1024,1,f16,81.814083,26.24833731864965
rayon-ikj,1024,1,f16,40.626957999999995,52.85858832945357
rayon-ikj,1024,2,f16,21.028499999999998,102.12253123142402
rayon-ikj,1024,4,f16,10.949083,196.13365320182524
rayon-ikj,1024,8,f16,5.676708,378.2973596669055
rayon-ikj,1024,10,f16,5.360708,400.5970196474048
rayon-tiled,1024,1,f16,82.374667,26.06970961108711
rayon-tiled,1024,2,f16,42.503209,50.525212061046965
rayon-tiled,1024,4,f16,21.722333,98.86063564166886
rayon-tiled,1024,8,f16,11.929959,180.00763020224963
rayon-tiled,1024,10,f16,11.687291,183.74520220297416
static-ikj,1024,1,f16,41.03825,52.32883098085323
static-ikj,1024,2,f16,21.026041,102.13447448333237
static-ikj,1024,4,f16,10.883959,197.30721587613476
static-ikj,1024,8,f16,6.554042000000001,327.6579014904085
static-ikj,1024,10,f16,7.1575,300.0326438002096
static-tiled,1024,1,f16,82.6785,25.973906735124608
static-tiled,1024,2,f16,42.425042000000005,50.61830340674736
static-tiled,1024,4,f16,21.900167000000003,98.05786631672717
static-tiled,1024,8,f16,11.815958,181.74435352596888
static-tiled,1024,10,f16,13.011333,165.04716680450804
mps,1024,1,f16,4.0475,530.5703886349598
naive-ijk,2048,1,f16,9007.896,1.9072011026770288
ikj,2048,1,f16,334.237042,51.40025498430542
tiled,2048,1,f16,707.9159579999999,24.268232676286132
rayon-ikj,2048,1,f16,342.930583,50.09722094106724
rayon-ikj,2048,2,f16,171.220959,100.33741946276565
rayon-ikj,2048,4,f16,89.183542,192.6349727621269
rayon-ikj,2048,8,f16,44.579458,385.37635841153565
rayon-ikj,2048,10,f16,41.678166000000004,412.2030989559377
rayon-tiled,2048,1,f16,706.357125,24.32178932717639
rayon-tiled,2048,2,f16,360.812917,47.61434076929125
rayon-tiled,2048,4,f16,187.370125,91.68947922727808
rayon-tiled,2048,8,f16,98.3965,174.59837681218335
rayon-tiled,2048,10,f16,97.138042,176.86036109313386
static-ikj,2048,1,f16,332.609375,51.65178878075821
static-ikj,2048,2,f16,169.483292,101.36615226945203
static-ikj,2048,4,f16,87.91054199999999,195.42444845807003
static-ikj,2048,8,f16,50.264207999999996,341.7913037444059
static-ikj,2048,10,f16,57.242292,300.1254594068316
static-tiled,2048,1,f16,709.378667,24.218192600370376
static-tiled,2048,2,f16,366.88491600000003,46.82631646813193
static-tiled,2048,4,f16,188.327458,91.22339018668218
static-tiled,2048,8,f16,96.570125,177.9004550734505
static-tiled,2048,10,f16,94.870042,181.08845344455523
mps,2048,1,f16,6.3245000000000005,2716.399586370464
naive-ijk,4096,1,f16,202459.413875,0.67884693945057
ikj,4096,1,f16,2720.098209,50.527202663953524
tiled,4096,1,f16,6127.123667,22.43123542817175
rayon-ikj,4096,1,f16,2717.411542,50.57715820653565
rayon-ikj,4096,2,f16,1524.443125,90.15682593734024
rayon-ikj,4096,4,f16,1031.01325,133.30474023684954
rayon-ikj,4096,8,f16,481.305042,285.55477603328325
rayon-ikj,4096,10,f16,584.5075410000001,235.13632217107698
rayon-tiled,4096,1,f16,6213.960042,22.117772329247945
rayon-tiled,4096,2,f16,3264.73075,42.09809751447344
rayon-tiled,4096,4,f16,1667.347417,82.42970365425649
rayon-tiled,4096,8,f16,861.471458,159.53976442943278
rayon-tiled,4096,10,f16,922.918041,148.91783166691832
static-ikj,4096,1,f16,2724.319916,50.44890384011714
static-ikj,4096,2,f16,1513.049708,90.83571593538154
static-ikj,4096,4,f16,1029.547,133.4945888550984
static-ikj,4096,8,f16,502.38258300000007,273.57428008605945
static-ikj,4096,10,f16,565.792041,242.91425738171526
static-tiled,4096,1,f16,6227.074292,22.071192188692777
static-tiled,4096,2,f16,3295.458459,41.70556393956353
static-tiled,4096,4,f16,1687.9309170000001,81.4245133422128
static-tiled,4096,8,f16,864.4340000000001,158.9929982763288
static-tiled,4096,10,f16,824.4295000000001,166.70795194980286
mps,4096,1,f16,38.065291,3610.6108704646444
