kernel,n,threads,precision,elapsed_ms,gflops
static-tiled,512,8,f64,4.677562,57.387899080760455
static-tiled,512,10,f64,4.77845,56.17626133997426
naive-ijk,1024,1,f64,1647.075962,1.303815790859074
ikj,1024,1,f64,176.72234600000002,12.151738003749678
tiled,1024,1,f64,243.77923700000002,8.809132699024733
rayon-ikj,1024,1,f64,177.12613299999998,12.12403619741419
rayon-ikj,1024,2,f64,90.14045800000001,23.82374902066728
rayon-ikj,1024,4,f64,45.364646,47.338265309069094
rayon-ikj,1024,8,f64,25.465011999999998,84.33075342748711
rayon-ikj,1024,10,f64,24.263641999999997,88.50623694497307
rayon-tiled,1024,1,f64,244.253804,8.792017208460754
rayon-tiled,1024,2,f64,123.844883,17.34010801237545
rayon-tiled,1024,4,f64,62.968279,34.104213774049626
rayon-tiled,1024,8,f64,39.108087,54.91149817683488
rayon-tiled,1024,10,f64,37.336342,57.517248154626394
static-ikj,1024,1,f64,177.083033,12.126987050193568
static-ikj,1024,2,f64,89.686029,23.944461271665848
static-ikj,1024,4,f64,45.349188,47.35440131805668
static-ikj,1024,8,f64,29.471112,72.86741158596256
static-ikj,1024,10,f64,29.527604,72.72800217721695
static-tiled,1024,1,f64,244.271367,8.79138506642901
static-tiled,1024,2,f64,124.240821,17.284847530104457
static-tiled,1024,4,f64,63.366096,33.890105017673804
static-tiled,1024,8,f64,37.905608,56.65345476057263
static-tiled,1024,10,f64,40.960229,52.42850688163877
naive-ijk,2048,1,f64,30267.591346,0.5675994824831148
ikj,2048,1,f64,1488.170946,11.544284767940901
tiled,2048,1,f64,1657.506337,10.364888990466646
rayon-ikj,2048,1,f64,1492.1094209999999,11.513813224559756
rayon-ikj,2048,2,f64,833.937154,20.600915910265343
rayon-ikj,2048,4,f64,513.531771,33.45434528918367
rayon-ikj,2048,8,f64,295.135029,58.21020040288067
rayon-ikj,2048,10,f64,303.210062,56.65995735985833
rayon-tiled,2048,1,f64,1781.7650870000002,9.642050632458037
rayon-tiled,2048,2,f64,894.5145749999999,19.205801296194643
rayon-tiled,2048,4,f64,443.924329,38.69999471013448
rayon-tiled,2048,8,f64,268.45882900000004,63.99442792771774
rayon-tiled,2048,10,f64,261.462092,65.70692161370759
static-ikj,2048,1,f64,1496.669225,11.478734844701574
static-ikj,2048,2,f64,833.2545369999999,20.617792548545104
static-ikj,2048,4,f64,512.152421,33.54444591017563
static-ikj,2048,8,f64,302.214262,56.84665267054802
static-ikj,2048,10,f64,318.905588,53.87133317964939
static-tiled,2048,1,f64,1781.436713,9.643827961235019
static-tiled,2048,2,f64,893.2030669999999,19.234001559916276
static-tiled,2048,4,f64,444.875384,38.61726182629157
static-tiled,2048,8,f64,262.412983,65.46882317937752
static-tiled,2048,10,f64,266.299579,64.51331710141382
naive-ijk,4096,1,f64,269589.86679999996,0.5098075647404119
ikj,4096,1,f64,11958.11305,11.493364621770322
tiled,4096,1,f64,13585.887696,10.116302780308216
rayon-ikj,4096,1,f64,11952.942729,11.498336149352431
rayon-ikj,4096,2,f64,6482.54425,21.20139071507302
rayon-ikj,4096,4,f64,4670.583158,29.426508173093527
rayon-ikj,4096,8,f64,2955.622796,46.50084363200993
rayon-ikj,4096,10,f64,3099.353913,44.344388324135224
rayon-tiled,4096,1,f64,14871.827346,9.241564622451476
rayon-tiled,4096,2,f64,7465.5872580000005,18.409664065572695
rayon-tiled,4096,4,f64,3714.781592,36.99785574688505
rayon-tiled,4096,8,f64,2235.06455,61.49216293193858
rayon-tiled,4096,10,f64,2234.883546,61.497143203720206
static-ikj,4096,1,f64,12023.538317,11.430824258918523
static-ikj,4096,2,f64,6478.70245,21.213962908884632
static-ikj,4096,4,f64,4651.590346,29.546658937880597
static-ikj,4096,8,f64,3049.508113,45.06922047070481
static-ikj,4096,10,f64,3144.8759,43.70250459549135
static-tiled,4096,1,f64,14855.464246,9.25174408527872
static-tiled,4096,2,f64,7456.7692,18.43143455103854
static-tiled,4096,4,f64,3680.706004,37.34037799341715
static-tiled,4096,8,f64,2220.022567,61.908809178334806
static-tiled,4096,10,f64,2177.521154,63.11716109831189
